Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Armenia,ARM,637.8559212,590.5058756,369.7072323,357.2028486,400.5155938,456.3749333,504.0598426,523.2844107,609.1716537,597.4328988,622.7409229,694.4234554,783.241215,930.1254727,1191.921006,1643.756889,2158.148074,3139.28071,4010.861381,2994.340471,3218.378299,3525.807198,3681.844691,3838.17388,3986.231624,3607.289299,3591.828052,3914.527854,4220.540321,4604.646324
American Samoa,ASM,6479.413159,6635.519344,6818.419821,7036.558962,7052.584332,7148.257031,7361.833724,7593.164893,7799.104931,7880.218156,7862.296461,7638.951026,8666.655382,8807.462812,8528.248777,8395.31877,8340.52344,8874.877928,9740.824491,11910.01323,10216.81763,10223.29836,11496.5241,11450.7242,11525.15639,12059.63516,12038.2497,11003.82976,11521.60978,11715.36014
Antigua and Barbuda,ATG,7347.646369,7602.345334,7745.7218,8136.188547,8771.143727,8406.358945,9030.574978,9491.660766,9940.852228,10260.59941,10872.29295,10367.31961,10401.05088,10797.95106,11446.96914,12557.54785,13995.80442,15622.69287,16044.1058,14160.562,13048.96058,12746.63347,13272.73494,12910.59063,13501.58092,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968
Australia,AUS,18243.47142,18855.762,18604.18827,17667.1871,18079.38018,20358.33336,21904.29412,23509.42347,21345.97099,20558.9604,21697.70848,19527.32358,20117.78889,23492.40517,30513.94174,34080.9999,36117.48798,41001.14298,49654.9106,42783.32257,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596
Austria,AUT,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27174.29716,24564.45829,24537.51426,26401.74546,32222.89724,36821.52147,38403.13388,40635.28182,46855.77175,51708.76575,47963.1794,46858.04327,51374.95841,48567.69529,50716.70871,51717.49594,44178.04738,45276.83144,47312.00623,51461.43322,50114.40111
Azerbaijan,AZE,53.086,45.71310264,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718
Burundi,BDI,208.1466789,209.778011,190.4888799,161.887525,156.812381,167.0988878,143.4023238,158.9146699,144.4930173,128.9389187,136.4639708,134.3634269,123.1175361,113.5672513,128.3367028,151.6815663,167.3764625,172.4955966,198.3528517,212.1370572,234.2355389,249.5779794,252.3588707,256.9756526,274.8578362,305.5496525,260.5652208,253.8263541,238.783467,228.2135892
Belgium,BEL,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25244.27505,23041.53473,22995.15752,24887.56133,30587.66841,35364.37533,36795.97688,38672.70594,44262.896,48106.89292,44583.54481,44141.87814,47348.52502,44673.11588,46744.66254,47700.54036,40991.80814,41984.10303,44089.31009,47519.5531,46591.49161
Benin,BEN,393.686768,385.7538407,317.962736,411.9261797,279.666749,367.3877143,387.4320982,361.0999824,379.4417675,551.8214294,512.673902,518.0674741,574.9297982,711.2849548,798.7443045,822.7851431,856.0549166,966.2036183,1125.426134,1088.757906,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506
Burkina Faso,BFA,351.9792335,346.4105959,361.0468756,334.943237,193.0702802,235.8321506,249.3605589,229.4929493,255.7182367,300.4217239,255.7186873,267.0975996,294.6653885,374.627358,418.3766603,457.9334308,473.4498682,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068
Bangladesh,BGD,306.2687008,293.1604211,293.6449876,300.5557477,299.5330371,329.4240761,394.7174919,401.4986674,407.4291762,409.5431838,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1401.564635,1563.767819,1698.132081,1855.740094
Bulgaria,BGR,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.286018,1470.103703,1361.392386,1820.405094,1659.718346,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533
Bahrain,BHR,8529.052127,9055.644407,9082.827988,9698.15289,10130.3762,10376.9533,10544.79468,10672.23776,10076.26988,10401.56215,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24085.95599,23551.93009
"Bahamas, The",BHS,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28583.0233,30065.1602,31776.05559,31732.91914,32376.50917,33290.02814,33799.41769
Bosnia and Herzegovina,BIH,371.6578272,382.1868342,361.1288201,403.2448483,319.012792,487.4769045,740.0996865,982.8018491,1102.390688,1251.747595,1484.176056,1544.602075,1789.857691,2258.946452,2698.46718,2980.601268,3416.512376,4193.368011,5090.945834,4714.693746,4635.510195,5092.554723,4777.066914,5129.663534,5330.355075,4729.689959,4994.971551,5394.268944,6070.349081,6119.762345
Belarus,BLR,2124.767944,1801.930398,1710.168386,1598.326059,1739.81405,1323.273088,1452.507105,1394.508484,1515.530743,1212.045978,1276.493985,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826
Belize,BLZ,2197.161593,2326.724165,2668.531422,2834.688425,2882.152083,2997.760458,3003.182627,2954.227237,2993.033599,3066.095138,3364.491731,3404.420586,3526.081513,3650.60647,3802.26316,3885.034074,4155.323885,4252.395404,4404.308198,4186.519998,4270.780085,4423.496842,4505.600593,4568.641228,4718.436581,4770.232656,4856.973249,4945.857699,5001.422157,5078.809944
Bermuda,BMU,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113023.1856,117098.4463
Bolivia,BOL,709.0599824,762.0777071,788.15232,784.1909887,801.0461369,880.9926864,950.8563862,998.5159532,1049.499374,1003.392231,997.5817489,948.8702113,904.2257999,907.5374158,967.4064586,1034.3118,1218.87407,1372.628368,1715.208393,1754.209464,1955.460182,2346.337844,2609.880562,2908.20037,3081.878823,3035.971655,3076.65644,3351.124344,3548.59078,3552.068143
